sample	h.001B	h.002B	h.004B	h.006B	h.009B	h.010B	h.015B	h.020B	v.003A	v.006A	v.008A	v.009A	v.010A	v.012B	v.013B	v.014B	v.018B	v.017B	v.012A	v.013A	v.a4_1	v.a5_1	v.a5_12	v.a6_1	v.a6_4	v.a6_6	v.a6_10	v.a7_1	v.a8_3	v.a8_6	v.a13_19	v.a13_22	v.a15_6	v.a17_4	h.b4_1	h.b5_12	h.b6_4	h.b6_10	h.b8_3	h.b8_6	h.b13_19	h.b13_22
V1000001	21	5759	7045	2974	154	10	13	7	9006	29	4647	4495	34	1696	17	2740	418	2462	3576	1725	175	474	293	59	111	595	548	6	5203	2486	298	15	2251	0	836	2749	667	1061	41	11	12760	773
V1000002	6	1122	1230	491	26	0	5	5	881	4	490	430	6	228	2	241	36	177	340	207	20	77	20	3	13	69	46	0	332	245	42	0	211	0	266	456	887	387	48	5	2864	250
V1000003	27	9304	12315	3996	225	21	18	11	12879	56	7108	6334	42	2652	27	3630	684	5078	3751	1632	308	1125	499	37	163	709	756	8	6366	3714	444	31	2643	0	2232	4995	1286	1217	85	14	15000	851
V1000004	81	28077	36042	16051	713	44	71	42	41985	207	24748	22858	158	9740	90	11936	2109	10869	13269	12214	1033	5101	1450	184	421	2584	2609	64	18471	13014	1683	94	10928	0	6907	16592	3391	4864	291	44	50777	2715
V1000005	9	2988	4890	2400	108	6	7	6	4803	25	3198	4004	19	1178	9	1675	241	1232	2606	2145	113	544	106	35	94	409	303	0	2977	2522	405	0	1013	0	415	1784	1235	614	115	14	5969	284
V1000006	5	1249	1890	675	30	4	4	2	1549	19	1651	1802	15	461	7	1056	168	745	1248	692	89	232	93	25	45	144	172	0	1469	857	108	8	744	0	203	926	130	300	4	10	3316	178
V1000007	16	3489	3286	1884	101	10	9	10	4926	39	4182	4548	38	1388	13	2358	311	1547	3096	2362	249	761	256	32	130	415	527	13	2948	2322	273	5	1305	0	687	3508	496	814	37	5	7687	360
V1000008	30	7425	10624	5135	227	17	20	12	11612	52	6548	5637	56	2734	21	2948	589	2662	3505	3923	328	1423	321	28	105	503	619	10	6974	4000	462	33	2350	0	1083	5050	2096	1417	157	10	10960	707
V1000009	16	4398	5499	1844	119	8	11	7	7801	37	2705	3491	31	1171	18	1672	254	2709	1742	1470	206	834	228	22	70	293	402	11	3722	1702	302	11	1293	0	893	2999	542	594	35	7	6830	355
V1000010	4	1262	1662	774	30	3	5	3	2016	9	1348	1238	8	464	4	636	119	550	805	591	56	254	62	11	16	68	167	0	1054	738	114	0	481	0	166	896	446	237	45	0	2088	184
V1000011	35	4526	5412	2598	116	14	31	15	7557	33	4430	4348	34	1525	17	2037	360	2243	2528	1896	236	1131	237	28	107	523	430	11	3506	2736	449	18	1564	0	529	2960	442	748	40	14	8472	348
V1000012	13	3998	3705	2580	80	7	11	7	5144	22	2689	3561	22	1101	11	1165	314	2111	2030	1817	168	876	191	18	47	273	493	5	2785	1617	264	16	1074	0	672	1938	906	762	90	0	5394	330
V1000013	15	4679	7197	2320	112	10	17	9	9006	39	5312	4720	34	1663	13	2492	346	1890	2561	2265	382	960	241	28	114	346	592	20	5620	2226	374	28	1674	0	599	2660	468	827	72	0	7860	549
V1000014	10	3291	2707	2150	54	3	9	3	3645	15	2318	3352	14	868	8	884	291	992	1256	1399	147	521	123	37	85	199	327	7	1848	1611	206	0	1012	0	357	1588	864	477	54	0	3775	172
V1000015	3	1306	1701	717	41	3	4	3	2139	11	1306	1383	12	446	4	653	109	642	944	656	77	384	39	15	44	164	184	0	1186	932	73	7	460	0	182	717	180	311	11	0	1832	131
V1000016	2	803	1130	521	19	2	2	1	1345	6	882	875	4	256	3	482	68	480	650	487	86	207	57	0	45	40	117	0	1007	523	82	0	291	0	106	533	218	146	28	0	811	64
V1000017	37	9617	13002	5867	300	16	33	20	18204	70	9210	9325	66	3683	26	3950	806	6151	5075	3986	395	2399	404	71	177	942	1052	37	9503	5235	633	22	3134	0	1956	5706	1353	1943	121	17	13921	962
V1000018	51	13382	15971	7546	368	30	38	28	23986	74	11205	10809	89	4701	37	4571	1013	6286	5985	5689	558	2812	499	81	191	1270	1278	29	11697	5970	931	46	4101	0	1966	7166	2187	2061	200	21	22263	1007
V1000019	16	1689	2182	922	28	6	20	8	2970	14	1611	1562	13	552	7	672	129	710	961	893	136	317	89	25	52	150	208	0	1554	708	133	0	595	0	221	727	411	273	86	8	2675	196
V1000020	11	2666	3384	1517	84	5	11	5	4946	18	2236	2132	25	782	10	1025	230	1726	1221	750	141	482	97	24	51	248	271	9	2528	1358	242	5	901	0	399	1286	226	335	20	6	4425	242
V1000021	33	8760	11834	5380	271	19	23	16	14345	69	8384	9223	78	3242	30	4059	690	5276	5528	4975	296	1830	440	82	193	1568	898	20	8449	4711	745	17	2982	0	1638	5044	967	1743	102	17	16099	733
V1000022	4	2310	2400	1415	48	2	5	2	4027	10	1699	1829	12	678	4	783	142	651	1071	1415	45	250	87	23	48	330	270	6	1605	1483	161	0	1000	0	224	1000	151	475	8	0	5519	176
V1000023	21	5031	5323	2120	124	10	9	7	4398	18	2779	2645	24	1294	19	2638	207	1232	2049	1546	102	397	238	39	53	278	307	10	3717	1358	169	11	909	0	976	2593	864	1498	56	5	9320	694
V1000024	5	1101	1215	612	25	0	4	2	1423	3	741	959	9	290	6	574	66	297	502	429	17	123	67	10	21	106	66	0	824	124	46	5	288	0	93	1235	1430	409	91	0	1502	202
V1000025	0	1572	1400	1082	27	0	0	0	1134	5	437	251	10	360	0	260	65	392	424	246	37	18	86	17	11	56	18	0	1159	316	46	1	167	0	111	193	112	172	9	0	3928	36
V1000026	3	841	876	404	16	0	2	0	1068	8	481	316	3	180	4	337	25	232	296	247	8	31	21	7	7	68	34	0	513	314	32	3	230	0	145	257	370	157	15	0	2213	119
V1000027	12	1391	1209	435	35	6	7	0	1246	9	815	657	4	318	3	608	41	286	564	372	23	76	48	8	19	96	75	0	803	366	36	2	419	0	196	470	434	110	35	6	2169	114
V1000028	17	1882	2691	857	61	0	8	0	1348	11	993	696	14	392	0	1272	103	651	924	591	13	131	74	16	10	177	100	0	982	358	85	1	474	0	305	817	1664	519	126	2	2421	221
V1000029	0	461	450	255	3	5	4	0	370	3	147	214	7	56	2	279	27	108	276	176	6	18	16	5	4	36	19	0	223	157	17	0	158	0	115	268	97	156	25	0	1080	99
V1000030	0	312	452	162	8	0	0	0	248	0	216	99	5	71	0	192	19	85	193	150	2	7	21	2	1	44	19	0	231	67	16	2	108	0	60	260	186	98	12	0	1052	46
V1000031	0	65	0	0	0	0	0	0	0	4	999	9	0	292	0	0	0	163	6	0	5	0	0	0	3	0	34	0	136	194	17	0	0	0	39	0	110	0	0	0	862	0
V1000032	0	55	0	0	0	0	0	0	0	0	1304	14	4	316	0	4	2	81	9	0	5	0	0	0	3	0	39	0	152	233	20	0	0	0	57	0	164	0	0	0	1266	0
V1000033	0	74	3	0	0	0	0	0	0	0	604	6	0	185	2	0	0	81	4	0	6	0	0	0	0	0	8	0	80	127	8	0	0	0	55	0	125	0	0	0	625	0
V1000034	0	230	150	197	10	0	0	0	219	0	111	79	5	27	0	85	9	45	98	69	2	1	13	1	2	18	15	0	92	35	9	0	67	0	39	190	379	98	28	1	603	56
V1000035	0	168	131	123	7	0	0	0	119	0	184	75	5	52	0	159	16	61	70	111	3	2	3	2	5	4	12	0	144	25	7	2	78	0	61	134	287	55	16	0	311	27
V1000037	18	2466	2300	1061	57	10	22	10	3780	22	3081	2201	24	772	7	2972	179	1161	1985	1749	96	240	144	33	76	324	259	0	1341	828	162	28	1737	0	519	1112	938	481	125	16	3536	289
V1000038	0	306	301	239	24	0	4	4	256	3	391	146	0	153	0	290	19	100	188	482	6	10	20	3	6	49	49	0	317	122	19	0	102	0	67	433	1089	349	118	0	645	131
V1000039	12	1887	1660	1297	33	5	9	7	2725	7	803	811	16	570	14	585	70	566	733	1025	32	48	96	25	42	159	114	5	1312	551	91	0	767	0	520	394	470	479	92	11	4300	407
V1000040	32	9097	9825	4633	178	19	12	15	10108	39	3892	5191	61	2367	19	3355	566	1415	4842	6207	197	194	450	87	176	797	606	4	7035	2916	363	10	3587	0	2216	5035	2470	2353	341	18	16209	2100
V1000041	0	0	92	76	6	1	1	0	0	1	333	1	0	7	0	34	1	506	1	62	0	14	28	0	12	0	0	0	138	91	0	0	0	0	0	0	674	0	98	0	0	138
V1000042	0	0	623	225	3	0	0	0	0	2	229	0	1	79	2	81	0	25	0	84	0	13	22	0	6	10	0	0	111	70	0	0	0	0	0	0	608	0	82	0	0	209
V1000043	2	0	602	331	9	0	0	0	0	0	214	0	0	75	0	92	0	39	0	93	0	32	17	0	13	8	0	0	95	68	0	0	0	0	0	0	1282	0	124	0	0	284
V1000044	25	6319	5950	3141	187	9	18	6	3857	22	2391	1769	21	1120	20	1190	185	708	1323	1399	88	413	154	39	70	330	226	3	1922	1288	153	5	1287	0	1129	2096	1408	1064	91	6	14190	915
V1000045	12	2874	2645	1126	86	5	10	10	1863	14	1418	1157	6	553	9	1112	89	356	1208	912	88	105	116	25	78	121	127	3	1626	848	85	4	338	0	828	1810	682	536	57	4	4673	360
V1000046	11	3392	2482	1025	34	6	5	6	2356	20	2738	1216	12	593	5	2672	196	1475	1755	1169	101	84	94	80	38	107	135	19	3311	1479	280	8	582	0	187	1015	222	651	24	5	7919	364
V1000047	0	559	810	370	37	6	6	0	1142	5	1285	805	22	421	6	294	197	573	616	680	89	35	79	11	17	149	99	4	419	643	36	1	335	0	159	868	393	240	31	1	2800	62
V1000048	0	85	24	65	2	0	4	0	85	0	278	57	2	108	0	147	0	20	0	55	0	9	11	0	0	12	4	0	90	57	16	0	35	0	0	0	64	0	14	0	486	23
V1000049	0	1071	0	608	0	0	0	0	539	4	21	0	11	0	4	233	0	115	0	135	7	0	43	2	6	16	11	0	0	131	1	0	99	0	47	598	273	40	0	0	433	1
V1000050	9	1946	2070	958	83	5	4	3	1480	7	1019	624	7	365	8	820	77	420	835	532	30	50	100	17	12	149	109	2	811	602	48	2	516	0	948	2539	1632	562	117	5	4696	545
V1000051	0	1584	1503	1427	11	0	2	2	1163	2	648	594	2	238	4	429	47	220	442	51	25	66	84	15	20	75	0	0	876	427	56	0	0	0	278	725	531	0	102	11	2556	252
V1000052	0	224	273	185	2	0	0	2	223	2	291	193	0	116	2	170	32	41	228	22	8	11	29	0	6	19	0	0	142	77	27	4	0	0	149	503	1001	0	127	0	701	186
V1000055	6	531	554	348	15	6	0	0	478	0	403	216	5	142	0	349	37	183	270	378	10	24	16	2	5	49	47	2	491	219	25	1	167	0	83	521	386	203	21	0	1372	77
V1000056	5	1621	1454	771	24	6	6	6	1715	7	1210	561	6	389	8	1126	83	374	801	648	27	44	67	11	23	162	187	2	1282	478	39	2	526	0	179	1053	410	621	49	6	2718	290
V1000057	11	2881	2898	1553	90	6	11	6	2546	20	1677	1338	15	728	7	1488	115	740	1174	1206	39	150	134	33	27	178	176	8	1521	788	140	3	908	0	722	1435	1463	754	149	3	8109	459
V1000058	3	884	904	546	18	0	2	3	952	7	444	432	2	241	4	373	50	273	432	277	12	49	34	7	4	66	33	0	446	277	40	0	271	0	132	683	783	282	68	5	2071	152
V1000059	8	1345	1114	709	21	4	2	2	1271	9	709	577	2	276	4	549	47	188	403	452	23	34	63	7	9	101	49	0	693	317	34	4	334	0	158	804	431	295	30	4	2335	139
V1000060	0	612	774	309	18	0	4	5	466	5	336	237	7	202	4	396	91	255	327	305	14	48	47	3	8	63	50	2	568	235	33	2	122	0	155	982	940	429	46	0	2191	223
V1000061	0	457	416	238	19	3	2	2	598	0	184	158	5	69	0	194	11	91	254	101	10	32	34	0	0	25	36	0	112	139	34	0	41	0	140	695	1017	350	95	0	1639	234
V1000062	3	1860	2505	587	21	4	3	2	1080	5	743	486	3	229	4	595	25	164	403	357	9	17	97	11	17	141	70	0	587	195	34	3	212	0	440	469	691	354	71	0	2518	278
V1000063	4	773	751	318	20	0	0	0	641	6	529	476	10	245	0	689	55	278	448	527	11	40	55	7	12	49	41	0	704	247	37	2	217	0	173	343	387	111	17	0	1853	76
V1000064	0	440	381	142	16	0	0	0	700	5	526	297	0	166	0	466	52	174	433	266	2	14	14	2	6	85	28	1	240	130	21	0	469	0	36	151	557	90	23	1	387	72
V1000065	0	214	97	136	0	0	0	0	109	0	137	43	0	75	0	166	20	55	107	77	0	8	4	2	0	13	22	0	98	40	13	0	54	0	12	169	561	97	36	0	419	63
V1000066	5	1557	4257	1463	29	4	8	4	1035	8	604	751	9	371	9	648	77	414	486	465	29	34	71	5	10	111	107	2	709	540	48	5	467	0	419	889	904	616	102	2	9741	363
V1000067	7	694	821	561	25	4	4	2	789	5	465	291	7	204	2	373	44	194	190	318	32	52	48	11	9	37	85	0	392	221	42	3	137	0	171	754	881	414	88	0	2406	284
V1000068	5	1070	1033	907	47	0	4	0	641	6	456	340	9	229	6	470	71	251	364	387	38	53	58	7	8	34	31	0	706	237	55	2	266	0	184	1072	1316	457	142	2	2266	235
V1000069	10	2530	2176	1631	39	4	12	5	1324	11	1161	876	15	549	10	1240	102	442	1107	704	56	97	101	10	17	122	209	0	1265	690	98	5	449	0	510	1954	2188	1469	280	7	5155	711
V1000070	0	59	140	26	0	0	0	0	52	0	32	39	0	0	0	99	3	22	3	11	3	3	0	0	0	7	6	0	65	4	3	0	25	0	9	0	8	48	3	0	453	24
V1000071	6	1348	1250	495	32	0	0	0	643	5	565	351	7	167	5	471	27	178	365	246	18	25	50	6	6	45	45	2	362	266	29	0	286	0	205	532	722	303	36	0	2854	162
V1000072	0	375	316	135	16	0	0	0	188	0	184	155	5	83	0	134	21	68	154	116	8	0	12	0	3	15	31	0	158	35	13	0	143	0	60	339	351	161	43	0	314	203
V1000073	13	2476	1638	1149	60	6	0	6	488	0	188	305	0	83	5	175	19	137	213	163	11	5	12	4	8	38	26	0	302	145	22	0	270	0	417	533	943	324	62	1	4746	419
V1000074	9	2365	2403	1362	34	3	7	5	1544	6	914	786	8	288	5	410	69	509	415	501	36	85	42	7	17	144	51	0	528	545	119	4	419	0	567	1201	3167	866	169	3	4201	317
V1000075	19	9695	11763	5773	238	12	19	13	12962	42	4997	5332	31	3101	17	3055	367	2015	2423	3201	192	525	650	57	146	1180	657	15	5156	1977	394	6	2201	0	3339	4299	942	1336	51	9	25251	463
V1000076	5	2318	3876	1846	88	8	7	5	3532	8	1645	1463	9	935	3	494	99	788	785	1208	103	197	218	30	43	321	216	0	1182	939	110	7	410	0	757	2067	304	688	17	7	8636	222
V1000077	9	2837	3844	1016	27	3	6	3	1784	16	1233	1016	11	547	11	1489	150	383	1120	1065	19	102	177	34	21	182	219	0	1485	721	125	11	363	0	255	1435	514	506	50	5	7032	361
V1000078	6	878	991	483	23	3	0	0	437	5	339	291	4	123	3	260	50	116	408	369	10	18	32	4	23	29	53	0	538	181	22	0	170	0	83	754	299	248	8	2	1546	336
V1000079	126	11284	12879	6432	195	62	104	48	11880	88	7374	5184	105	2963	61	4628	549	3075	6469	5614	353	1279	494	97	175	859	897	18	5448	4084	733	51	2775	0	2615	7917	5309	4672	591	35	32990	2414
V1000080	40	12678	17390	5763	368	20	32	19	17971	83	11478	10038	67	4087	30	5386	729	5446	4599	5612	326	1483	761	89	191	1647	791	36	7047	4946	506	27	5636	0	2346	6887	1215	1737	132	22	27902	929
V1000081	17	3549	4084	1415	104	3	10	10	3181	14	1903	1580	28	821	15	1559	199	735	1282	1335	100	153	176	18	29	197	271	5	1639	1315	163	8	583	0	921	4137	2033	942	195	3	8615	807
V1000082	16	3572	4057	2418	80	6	17	7	4361	23	2690	2179	22	1281	13	2113	262	1101	1739	1831	98	178	195	30	46	357	332	3	2256	1437	206	5	1521	0	895	2012	2347	1265	199	9	10714	485
V1000083	0	285	310	188	20	0	0	0	345	0	338	167	0	93	0	222	25	93	213	215	0	4	12	0	5	17	35	0	188	140	16	0	158	0	78	484	573	162	62	0	914	101
V1000085	0	0	0	866	0	0	0	0	671	8	0	0	9	184	5	654	48	0	0	0	0	12	25	1	22	31	24	0	0	193	23	0	169	0	0	1	822	327	0	0	4068	0
V1000086	5	1768	3319	871	47	4	9	2	2784	6	990	991	5	547	4	113	49	209	1186	464	19	121	42	7	10	111	64	0	1356	562	86	3	525	0	523	475	506	401	61	3	4269	414
V1000087	4	601	859	480	37	3	3	0	776	2	547	367	4	232	3	249	25	119	342	249	16	69	20	4	4	42	20	0	411	190	30	0	141	0	178	657	597	294	76	0	1541	257
V1000088	3	1732	1765	1293	48	4	4	3	3947	9	1191	2709	12	708	0	1890	162	623	1248	1442	78	109	150	10	37	343	121	3	1760	294	119	0	1455	0	525	678	624	257	152	0	3288	160
V1000089	2	997	563	545	8	0	3	2	1707	3	327	632	3	292	3	613	33	171	310	582	25	66	62	0	21	164	56	0	611	155	34	0	460	0	162	313	221	92	30	0	1578	105
V1000090	7	1075	869	885	32	2	4	2	1821	2	601	961	8	530	3	725	62	384	510	678	17	46	67	11	14	118	86	0	442	491	84	3	529	0	313	495	2669	536	106	3	2061	281
V1000091	7	2274	2562	1825	19	4	5	4	995	6	645	418	7	291	5	335	52	347	624	324	46	53	201	7	3	66	140	0	526	465	79	0	200	0	273	1299	2178	1006	170	3	3739	452
V1000092	11	3039	5067	1681	59	9	7	11	2442	14	1295	1159	19	625	13	1375	114	1131	1396	879	65	172	194	11	40	185	178	4	1642	647	123	5	982	0	775	1783	1179	747	64	13	5255	388
V1000093	13	5021	8686	2241	131	11	17	8	5514	22	3618	3158	28	924	12	3129	272	2396	2867	2314	150	294	280	30	50	398	349	3	3145	1349	196	19	2069	0	1345	2416	1038	1162	134	10	11997	614
V1000097	0	750	694	302	18	0	0	6	630	0	343	170	5	120	0	250	30	120	162	183	7	16	26	1	1	61	24	1	335	189	15	1	118	0	107	811	37	99	11	1	2819	100
V1000098	9	712	810	452	24	0	4	0	687	0	266	431	0	107	0	271	47	173	218	235	8	10	37	5	2	33	68	0	293	87	17	0	354	0	90	506	265	367	35	0	706	116
V1000099	5	1363	1515	613	27	3	6	2	1169	7	507	598	4	260	4	348	55	255	455	394	16	52	80	5	12	94	71	0	399	440	36	0	278	0	322	845	1078	424	76	3	3006	229
V1000100	0	663	717	140	6	0	2	2	350	2	48	58	2	69	2	37	4	92	43	23	0	18	24	0	0	14	8	0	27	187	42	0	72	0	31	604	147	126	22	0	2172	202
V1000101	2	960	1015	425	10	2	4	0	1098	3	538	426	4	186	4	442	29	110	374	359	15	38	45	0	15	76	66	0	379	235	64	0	257	0	101	549	464	156	45	0	2735	128
V1000102	8	1006	1416	754	12	5	6	4	1440	8	849	746	9	262	7	622	34	160	661	562	19	71	64	6	18	85	56	0	582	229	77	0	348	0	191	710	921	430	79	7	2793	225
V1000103	0	704	796	598	34	0	3	0	630	4	259	183	5	202	0	141	13	90	129	57	6	13	24	0	3	33	46	0	167	135	13	0	152	0	354	114	798	470	25	0	1016	83
V1000104	0	397	453	248	14	0	0	0	261	5	240	178	4	87	0	246	20	75	147	142	6	8	8	4	3	28	20	0	216	105	21	0	98	0	69	215	230	96	17	0	877	79
V1000106	11	8101	8652	5843	69	5	9	7	2131	12	1629	1579	11	614	17	1093	98	412	912	899	41	176	192	34	39	233	141	0	1535	578	184	0	702	0	1753	1765	1205	1395	127	16	19823	1777
V1000107	2	1386	275	1561	6	2	3	2	469	2	55	90	0	21	5	66	17	141	36	49	7	48	5	4	0	11	28	0	325	75	4	0	67	0	125	185	212	267	44	0	562	350
V1000108	15	2266	2700	2010	63	10	7	6	2807	13	1976	1522	23	805	4	1121	194	697	1336	1640	113	192	74	11	28	226	309	9	1971	1538	87	8	811	0	438	890	579	588	93	3	3664	304
V1000109	17	4426	3465	3694	82	12	15	7	5248	25	2698	2180	26	1687	20	1740	255	1210	2004	1992	87	221	191	19	37	381	539	3	2310	2291	244	12	1697	0	562	1733	1410	1155	144	8	7032	829
V1000110	0	125	114	77	4	0	0	0	120	0	68	102	0	19	0	101	9	29	89	43	0	5	3	4	0	6	8	0	97	12	11	0	44	0	11	56	207	29	24	0	262	58
V1000111	1	196	39	202	3	0	0	0	256	1	103	155	2	15	0	106	3	71	460	165	0	0	7	18	0	9	40	0	320	13	9	0	26	0	0	233	195	93	73	0	115	35
V1000112	7	682	870	412	32	0	3	0	1101	5	709	316	10	199	0	601	86	418	803	473	16	45	44	15	24	98	78	4	1014	545	18	0	365	0	125	273	53	177	6	2	1591	30
V1000113	6	1390	3012	784	72	3	3	3	2495	11	1051	932	12	460	7	1119	72	319	656	775	28	111	58	8	23	317	122	12	1073	530	100	0	450	0	173	980	740	508	71	2	2230	142
V1000114	2	780	847	626	11	3	2	3	757	3	433	387	4	171	3	416	35	162	321	300	30	57	40	5	7	35	30	0	639	105	59	3	83	0	209	636	86	90	80	0	2814	167
V1000115	7	1282	1316	874	48	4	3	7	1214	7	808	501	12	286	5	469	51	192	407	565	17	56	58	9	9	74	88	3	677	320	52	4	335	0	159	700	732	394	56	0	2136	211
V1000116	65	25388	26764	15114	542	30	65	109	22473	93	12939	10247	95	7265	70	11347	1010	6311	13551	10288	800	1880	1048	153	246	2142	2035	23	18401	10361	1837	44	5566	0	3056	8942	1930	5293	295	78	63340	2097
V1000117	12	2459	2945	1628	83	3	6	6	3833	16	1532	1624	19	870	10	1245	157	856	1253	1051	59	212	73	19	31	217	186	4	1952	973	97	3	821	0	503	1316	1168	700	107	5	4092	343
V1000118	4	1181	1226	773	37	2	5	2	1948	7	900	900	7	423	4	566	66	285	545	588	20	112	58	13	11	83	90	0	671	373	76	0	460	0	352	1018	832	589	60	4	1887	216
V1000119	0	354	464	3	8	1	0	1	313	0	208	84	2	2	1	5	0	26	2	155	5	57	0	0	0	14	40	0	190	0	0	0	12	0	65	275	5	152	30	0	0	82
V1000120	4	1398	1861	824	43	4	0	4	1464	9	907	738	11	490	3	620	90	349	662	350	45	102	76	7	15	108	102	5	642	401	66	0	561	0	435	358	257	216	38	0	3149	113
V1000121	30	1436	1837	883	97	13	23	15	1693	24	2504	1715	29	1299	12	1942	93	474	732	2114	85	285	122	19	42	244	272	9	1129	437	101	11	735	0	686	1550	752	787	96	12	3088	258
V1000122	148	46481	52213	22089	1103	90	91	57	44192	229	36759	26161	230	14980	128	28432	2209	13030	23294	29204	1232	3599	1776	372	579	5174	5336	71	36708	17865	2122	105	19123	3	10542	18487	2669	9208	252	64	85733	3153
V1000123	0	243	371	133	35	0	0	3	329	5	804	39	5	74	0	731	20	15	194	204	6	27	34	0	76	66	7	3	255	141	20	0	39	0	72	84	951	38	0	0	687	21
V1000124	0	1190	1527	565	64	0	0	0	613	7	678	386	13	280	0	591	70	462	366	315	50	56	20	6	4	62	23	1	1128	148	9	1	259	0	110	615	46	236	2	1	1323	90
V1000125	0	547	637	468	15	0	0	0	372	4	200	257	0	93	0	127	17	88	136	137	7	9	20	0	4	25	20	0	121	104	29	0	163	0	162	305	989	364	24	1	1528	94
V1000126	1	499	531	397	10	3	2	2	706	4	448	479	3	163	2	190	16	27	104	275	21	58	8	0	5	50	31	4	212	142	15	0	187	0	135	89	291	110	50	0	818	25
V1000127	3	382	533	392	15	0	2	0	512	2	235	403	3	134	3	237	21	70	176	175	15	34	26	0	4	49	26	0	291	88	21	0	165	0	105	245	173	119	24	0	736	78
V1000128	3	1069	1485	512	18	0	3	0	742	3	387	518	6	223	2	260	30	236	350	256	39	71	20	6	7	93	26	0	446	220	28	0	164	0	296	497	605	122	75	0	1438	153
V1000129	40	12686	22255	8170	435	18	27	13	19314	72	7320	9284	45	3327	38	4951	520	2161	4280	4826	193	1083	434	105	186	2387	574	20	7362	3755	543	20	4570	0	2463	4340	2145	1698	160	20	25683	700
V1000130	8	769	818	718	15	3	6	3	1009	6	485	415	5	212	3	293	30	173	312	460	15	66	31	0	15	61	49	0	334	214	40	0	198	0	130	532	512	593	81	9	2223	154
V1000131	0	148	160	208	10	0	0	0	210	2	95	100	0	46	3	45	10	35	55	62	5	11	0	0	3	5	3	0	70	65	3	0	63	0	39	152	35	117	4	0	829	19
V1000132	6	3160	3310	2852	68	6	10	7	3913	14	1497	1613	12	585	13	857	157	599	825	1158	66	167	81	25	23	223	215	4	1523	694	113	8	999	0	351	1556	1500	1521	185	0	7442	491
V1000133	6	1170	1246	873	31	4	0	3	1156	8	584	623	8	195	2	387	60	202	347	280	23	41	27	5	8	88	85	0	445	336	32	2	321	0	149	481	840	470	38	2	2243	217
V1000134	31	7096	5209	5795	117	16	28	14	6790	24	2015	1740	35	1365	26	959	396	1787	2572	2699	132	231	278	83	129	507	1028	3	3690	2642	188	14	1445	0	312	4011	709	3463	72	18	17289	1138
V1000135	8	412	785	355	9	3	18	6	1231	10	477	600	4	181	4	274	30	84	179	451	34	97	32	0	10	168	69	0	429	120	62	11	182	0	81	275	68	103	9	0	758	50
V1000136	5	460	747	436	15	0	9	3	1010	2	414	646	6	181	3	331	35	154	226	301	24	58	28	9	15	120	56	0	483	117	44	0	181	0	95	241	274	113	29	0	668	52
V1000137	6	1062	2055	1534	32	4	6	4	2249	20	794	2539	9	479	6	1412	91	320	435	658	19	169	54	8	21	410	177	2	1571	300	90	6	601	0	444	1019	473	351	71	2	3052	124
V1000138	7	1136	1878	800	67	0	0	0	1918	5	713	990	14	415	3	632	58	233	427	762	22	83	128	10	25	270	102	0	1044	213	50	3	308	0	214	914	182	343	11	0	2901	54
V1000139	11	2817	3270	1704	40	3	8	4	2496	7	1253	1062	14	501	8	792	88	422	861	513	57	156	60	5	13	208	228	0	726	418	54	6	1115	0	450	1929	765	1054	102	4	3779	346
V1000140	10	3319	3591	1717	54	6	9	5	3497	10	2178	1727	19	872	11	1689	141	671	869	1178	71	309	131	12	41	217	139	4	2300	988	177	0	627	0	485	1416	920	352	119	6	6042	392
V1000141	7	2598	2665	1310	53	5	2	3	2526	6	1257	1022	10	563	6	914	86	492	791	714	54	168	84	14	16	160	130	0	1292	472	135	0	654	0	330	1251	822	520	70	11	3077	271
V1000142	6	2899	3478	1706	52	3	8	4	2940	15	1437	1589	12	680	8	1755	112	581	1087	881	36	144	124	18	46	271	225	10	1505	1002	95	0	437	0	353	1749	2252	800	251	0	1920	425
V1000143	44	8260	11030	5154	196	22	47	19	12000	67	6858	5792	50	3113	30	3996	461	3048	4199	5244	225	790	532	100	149	1145	801	17	4989	3097	562	34	4860	0	2192	2610	903	1209	95	34	18642	557
V1000144	14	4541	6263	2943	131	7	12	9	7253	23	3657	3288	30	1868	11	2170	291	1374	2056	2266	102	524	345	43	88	653	418	14	2787	1796	324	8	2154	0	1453	2019	365	662	22	5	10743	199
V1000146	8	1487	2383	518	36	4	7	3	2811	20	1300	1057	13	629	7	1077	168	443	954	795	18	229	245	12	38	299	105	0	934	550	132	6	445	0	205	1238	527	281	70	9	3986	201
V1000149	6	1143	1237	709	26	3	3	4	2686	7	938	463	11	295	4	1652	105	374	669	537	21	41	173	24	14	127	132	0	1360	294	47	6	425	0	273	832	506	291	60	3	2338	140
V1000150	2	847	1155	611	18	3	2	2	1515	3	523	381	7	236	4	285	51	225	247	397	21	43	41	12	9	167	58	0	559	262	56	0	218	0	179	375	196	232	43	0	1183	67
V1000151	19	2441	3828	1309	80	11	17	7	3588	16	2116	1677	17	896	9	776	158	730	1204	1161	98	203	149	31	60	301	164	9	1872	819	114	15	1195	0	305	867	166	433	11	4	5232	488
V1000152	21	2057	2519	1707	28	12	24	8	2550	19	1539	1121	15	537	9	984	119	645	813	978	99	135	145	37	62	159	166	0	1176	650	119	7	645	0	355	948	915	662	172	0	4355	436
V1000153	0	400	375	373	7	0	3	0	419	5	205	208	4	111	0	175	25	119	148	112	12	12	13	0	4	25	20	0	364	115	12	0	113	0	47	215	52	117	7	0	756	73
