sample	h.001B	h.002B	h.004B	h.006B	h.009B	h.010B	h.015B	h.020B	v.003A	v.006A	v.008A	v.009A	v.010A	v.012B	v.013B	v.014B	v.018B	v.017B	v.012A	v.013A	v.a4_1	v.a5_1	v.a5_12	v.a6_1	v.a6_4	v.a6_6	v.a6_10	v.a7_1	v.a8_3	v.a8_6	v.a13_19	v.a13_22	v.a15_6	v.a17_4	h.b4_1	h.b5_12	h.b6_4	h.b6_10	h.b8_3	h.b8_6	h.b13_19	h.b13_22
V1237196	2	0	0	0	3	0	0	0	0	0	109	1	0	0	0	68	0	0	1	599	0	0	0	36	0	0	5	0	148	0	0	0	0	0	0	353	0	229	80	0	0	0
V1237221	0	0	0	0	0	0	0	0	585	0	465	24	22	36	0	82	66	57	12	20	26	94	5	18	17	13	151	31	0	13	17	0	228	2	0	2	0	0	0	0	0	0
V1237230	0	0	0	0	0	0	0	0	3127	5	212	102	168	260	0	46	650	283	17	43	114	432	21	45	29	11	364	57	0	40	0	102	451	100	0	4	0	0	0	0	0	0
V1237233	0	118	399	22	0	0	0	0	69	0	4	118	0	12	0	10	8	8	55	28	0	0	0	0	0	12	4	0	24	85	10	0	0	0	8	157	19	7	4	0	225	6
V1237269	0	172	302	110	3	0	3	16	383	3	115	116	3	80	0	45	19	66	100	94	9	45	5	3	5	51	18	0	152	75	16	0	72	0	56	130	40	84	7	0	826	31
V1237270	0	0	0	0	0	0	0	0	32	30	86	32	24	0	134	48	46	136	18	28	405	7	4	0	22	32	9	18	22	0	14	30	8	10	0	0	0	0	0	0	0	0
V1237312	0	0	0	0	0	0	0	0	523	0	793	0	167	0	0	0	26	48	0	12	8	230	1	1	1	0	111	2	0	1	1	1	198	2	0	4	0	0	0	0	0	0
V1237313	10	10	4	11	6	8	11	2	2152	1	156	3	586	1004	2	2	1725	1861	29	275	275	1118	74	95	471	6	912	1492	0	90	0	916	1212	1313	0	7	0	0	3	0	0	2
V1237322	0	12	0	0	0	0	0	0	2683	14	199	35	578	634	0	31	1217	1362	96	185	86	700	18	42	220	8	367	594	2	17	0	350	1342	644	0	3	0	0	0	0	0	0
V1237328	0	0	0	0	0	0	0	0	915	0	65	16	24	126	0	61	115	92	26	42	32	169	2	11	9	8	44	52	0	6	0	9	312	11	0	2	0	0	0	0	0	0
V1237336	0	0	0	0	0	0	2	4	22	0	507	53	27	34	0	10	64	82	21	10	2	52	11	8	2	6	18	2	1	22	218	10	39	14	0	9	0	0	0	0	0	0
V1237339	0	0	0	0	0	0	0	0	924	0	76	8	64	38	0	0	95	172	0	0	16	197	3	2	6	0	156	42	0	5	2	5	65	13	0	4	0	0	0	0	0	0
V1237343	0	0	0	0	0	0	0	0	1053	0	193	41	98	82	0	15	0	34	25	0	12	136	3	7	22	1	141	24	0	4	1	2	281	26	0	3	0	0	0	0	0	0
V1237348	0	4	0	0	0	0	0	0	308	0	714	0	79	38	0	7	76	113	13	25	22	67	5	2	5	0	46	23	0	3	50	9	267	18	0	5	0	0	0	0	0	0
V1237351	4	0	0	4	0	0	4	5	1408	6	103	0	13	13	0	0	7	13	7	0	80	221	6	8	98	0	423	14	1	8	0	116	254	0	0	7	0	0	0	0	0	0
V1237371	1	1	1	1	1	81	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	2177	0	0	0	0
V1237374	0	0	4	4	0	0	7	0	297	5	392	39	17	55	0	0	272	5	25	5	61	279	5	7	13	0	227	1	0	6	37	22	350	46	0	2	0	0	2	0	0	2
